trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
94,1,-0.185468387885,0.185468387885,16.371097,"{'n_estimators': 1065, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1065,entropy,,15,2,sqrt,0.9,Bank,0.18388620638580755
95,2,-0.1852949449393735,0.1852949449393735,3.282047,"{'n_estimators': 1021, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1021,entropy,,14,1,sqrt,0.9,Bank,0.18388620638580755
96,2,-0.18524817353542736,0.18524817353542736,2.842813,"{'n_estimators': 947, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.7}",947,entropy,,15,1,sqrt,0.7,Bank,0.18388620638580755
97,2,-0.18604562442107994,0.18604562442107994,3.185474,"{'n_estimators': 746, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_samples': 0.9}",746,log_loss,,15,2,0.33,0.9,Bank,0.18388620638580755
98,2,-0.1853313924603232,0.1853313924603232,3.871898,"{'n_estimators': 1232, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 13, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1232,entropy,20.0,13,1,sqrt,0.9,Bank,0.18388620638580755
99,2,-0.1908395525450851,0.1908395525450851,2.979912,"{'n_estimators': 1139, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 14, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1139,entropy,10.0,14,2,sqrt,0.9,Bank,0.18388620638580755
0,1,-0.16756711275017552,0.16756711275017552,5.887308,"{'n_estimators': 624, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': None}",624,log_loss,,12,7,0.1,,Gym,0.17852989651567044
1,1,-0.16608859813713922,0.16608859813713922,7.670219,"{'n_estimators': 834, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 16, 'min_samples_leaf': 2, 'max_features': 0.1, 'max_samples': None}",834,gini,,16,2,0.1,,Gym,0.17852989651567044
2,1,-0.1699034794601867,0.1699034794601867,13.235702,"{'n_estimators': 1451, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 9, 'max_features': 0.1, 'max_samples': None}",1451,log_loss,10.0,2,9,0.1,,Gym,0.17852989651567044
3,1,-0.16516017023218554,0.16516017023218554,10.761351,"{'n_estimators': 1185, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 0.1, 'max_samples': None}",1185,log_loss,10.0,7,4,0.1,,Gym,0.17852989651567044
4,1,-0.15632388534495886,0.15632388534495886,1.967517,"{'n_estimators': 204, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 0.33, 'max_samples': 0.5}",204,log_loss,15.0,15,1,0.33,0.5,Gym,0.17852989651567044
5,1,-0.16846877579583452,0.16846877579583452,5.124016,"{'n_estimators': 555, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': None}",555,gini,,12,7,0.1,,Gym,0.17852989651567044
6,1,-0.155240886636331,0.155240886636331,5.367293,"{'n_estimators': 540, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': None}",540,entropy,15.0,7,2,sqrt,,Gym,0.17852989651567044
7,1,-0.15561596639673142,0.15561596639673142,8.320655,"{'n_estimators': 855, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 17, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",855,entropy,,17,1,sqrt,0.9,Gym,0.17852989651567044
8,1,-0.15671273513235115,0.15671273513235115,7.680582,"{'n_estimators': 826, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.7}",826,gini,10.0,7,1,sqrt,0.7,Gym,0.17852989651567044
9,1,-0.15504050564100058,0.15504050564100058,7.588047,"{'n_estimators': 785, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': None}",785,log_loss,10.0,13,6,0.33,,Gym,0.17852989651567044
10,1,-0.15586509265736653,0.15586509265736653,1.833937,"{'n_estimators': 189, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.5}",189,log_loss,20.0,2,5,0.33,0.5,Gym,0.17852989651567044
11,1,-0.15525374750463475,0.15525374750463475,4.967871,"{'n_estimators': 505, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.9}",505,entropy,15.0,8,3,sqrt,0.9,Gym,0.17852989651567044
12,1,-0.1553343016626793,0.1553343016626793,10.180473,"{'n_estimators': 1102, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 9, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': 0.7}",1102,entropy,15.0,9,6,0.33,0.7,Gym,0.17852989651567044
13,1,-0.15507764888254982,0.15507764888254982,3.998618,"{'n_estimators': 407, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 19, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': None}",407,entropy,20.0,19,4,0.33,,Gym,0.17852989651567044
14,1,-0.1552068516982157,0.1552068516982157,3.325479,"{'n_estimators': 339, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 19, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': None}",339,entropy,20.0,19,5,0.33,,Gym,0.17852989651567044
15,1,-0.1554421522294881,0.1554421522294881,9.983731,"{'n_estimators': 1059, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 19, 'min_samples_leaf': 9, 'max_features': 0.33, 'max_samples': None}",1059,log_loss,20.0,19,9,0.33,,Gym,0.17852989651567044
16,1,-0.15474970380708478,0.15474970380708478,3.195205,"{'n_estimators': 324, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 13, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.9}",324,entropy,10.0,13,4,0.33,0.9,Gym,0.17852989651567044
17,1,-0.15542133381650203,0.15542133381650203,6.627968,"{'n_estimators': 702, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 14, 'min_samples_leaf': 7, 'max_features': 0.33, 'max_samples': 0.9}",702,entropy,10.0,14,7,0.33,0.9,Gym,0.17852989651567044
18,2,-0.15359768901385268,0.15359768901385268,0.2103,"{'n_estimators': 101, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 11, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': 0.9}",101,log_loss,10.0,11,6,0.33,0.9,Gym,0.17852989651567044
19,2,-0.15336186273767857,0.15336186273767857,2.522525,"{'n_estimators': 1368, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 13, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.9}",1368,gini,10.0,13,4,0.33,0.9,Gym,0.17852989651567044
20,2,-0.1546901063569811,0.1546901063569811,0.591842,"{'n_estimators': 310, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 0.33, 'max_samples': 0.5}",310,log_loss,10.0,10,8,0.33,0.5,Gym,0.17852989651567044
21,1,-0.15535922934412014,0.15535922934412014,3.632737,"{'n_estimators': 383, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 17, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.7}",383,entropy,20.0,17,4,0.33,0.7,Gym,0.17852989651567044
22,1,-0.15520413319091225,0.15520413319091225,4.381557,"{'n_estimators': 443, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': 0.9}",443,entropy,20.0,5,3,0.33,0.9,Gym,0.17852989651567044
23,1,-0.1552544657840391,0.1552544657840391,6.748447,"{'n_estimators': 708, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 14, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': None}",708,entropy,10.0,14,6,0.33,,Gym,0.17852989651567044
24,1,-0.15568192655444404,0.15568192655444404,2.622409,"{'n_estimators': 263, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 17, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': None}",263,entropy,20.0,17,3,0.33,,Gym,0.17852989651567044
25,1,-0.15533725921596975,0.15533725921596975,1.147189,"{'n_estimators': 109, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.9}",109,entropy,10.0,15,5,0.33,0.9,Gym,0.17852989651567044
26,1,-0.15506746333633648,0.15506746333633648,3.951599,"{'n_estimators': 414, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 11, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.7}",414,entropy,10.0,11,4,0.33,0.7,Gym,0.17852989651567044
27,1,-0.15483378438863843,0.15483378438863843,9.606405,"{'n_estimators': 1035, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 11, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.7}",1035,entropy,10.0,11,5,0.33,0.7,Gym,0.17852989651567044
28,2,-0.15339916969968542,0.15339916969968542,1.855243,"{'n_estimators': 1009, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': 0.7}",1009,gini,10.0,13,6,0.33,0.7,Gym,0.17852989651567044
29,1,-0.15555031571806127,0.15555031571806127,8.738631,"{'n_estimators': 947, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 12, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_samples': 0.7}",947,log_loss,10.0,12,8,sqrt,0.7,Gym,0.17852989651567044
30,2,-0.16381345620178026,0.16381345620178026,2.29716,"{'n_estimators': 1260, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 0.1, 'max_samples': 0.7}",1260,log_loss,10.0,10,5,0.1,0.7,Gym,0.17852989651567044
31,1,-0.1551490958785585,0.1551490958785585,6.628312,"{'n_estimators': 709, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 11, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.7}",709,entropy,10.0,11,5,0.33,0.7,Gym,0.17852989651567044
32,1,-0.15521567932731356,0.15521567932731356,8.579814,"{'n_estimators': 925, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 13, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.7}",925,entropy,10.0,13,4,0.33,0.7,Gym,0.17852989651567044
33,1,-0.15483545801700943,0.15483545801700943,6.021846,"{'n_estimators': 639, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': 0.7}",639,entropy,10.0,9,3,0.33,0.7,Gym,0.17852989651567044
34,2,-0.16117460325039967,0.16117460325039967,1.201202,"{'n_estimators': 639, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 0.1, 'max_samples': 0.7}",639,entropy,,9,2,0.1,0.7,Gym,0.17852989651567044
35,1,-0.1551960310629219,0.1551960310629219,7.28906,"{'n_estimators': 775, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': 0.7}",775,log_loss,10.0,5,3,0.33,0.7,Gym,0.17852989651567044
36,2,-0.16890595615027923,0.16890595615027923,2.143535,"{'n_estimators': 1170, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': 0.5}",1170,gini,10.0,9,7,0.1,0.5,Gym,0.17852989651567044
37,2,-0.15242429259891094,0.15242429259891094,1.2398,"{'n_estimators': 626, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_samples': 0.9}",626,entropy,10.0,15,2,0.33,0.9,Gym,0.17852989651567044
38,2,-0.15318910893459248,0.15318910893459248,1.670013,"{'n_estimators': 908, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': 0.5}",908,log_loss,,12,6,0.33,0.5,Gym,0.17852989651567044
39,2,-0.16142514376515893,0.16142514376515893,1.413421,"{'n_estimators': 765, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 0.1, 'max_samples': None}",765,entropy,10.0,5,3,0.1,,Gym,0.17852989651567044
40,2,-0.15424329605633827,0.15424329605633827,1.069675,"{'n_estimators': 565, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.7}",565,gini,15.0,8,5,sqrt,0.7,Gym,0.17852989651567044
41,1,-0.15536275565403454,0.15536275565403454,4.397631,"{'n_estimators': 468, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 12, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.7}",468,entropy,10.0,12,4,0.33,0.7,Gym,0.17852989651567044
42,1,-0.1551828040654196,0.1551828040654196,2.483379,"{'n_estimators': 255, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 11, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.7}",255,entropy,10.0,11,4,0.33,0.7,Gym,0.17852989651567044
43,1,-0.15532417319708736,0.15532417319708736,5.489682,"{'n_estimators': 583, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': 0.7}",583,entropy,10.0,10,3,0.33,0.7,Gym,0.17852989651567044
44,1,-0.15519997155626164,0.15519997155626164,8.220236,"{'n_estimators': 881, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 14, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.7}",881,entropy,10.0,14,5,0.33,0.7,Gym,0.17852989651567044
45,1,-0.15524359650372482,0.15524359650372482,5.009286,"{'n_estimators': 525, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_samples': 0.7}",525,entropy,,12,2,0.33,0.7,Gym,0.17852989651567044
46,1,-0.1548561920371432,0.1548561920371432,9.592282,"{'n_estimators': 994, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': None}",994,entropy,15.0,8,4,sqrt,,Gym,0.17852989651567044
47,1,-0.15512625922550716,0.15512625922550716,10.037839,"{'n_estimators': 1043, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 6, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_samples': None}",1043,log_loss,15.0,6,6,sqrt,,Gym,0.17852989651567044
48,2,-0.15238974672896918,0.15238974672896918,2.206908,"{'n_estimators': 1162, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'max_samples': None}",1162,entropy,15.0,8,7,sqrt,,Gym,0.17852989651567044
49,1,-0.1550529994005974,0.1550529994005974,9.290188,"{'n_estimators': 952, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': None}",952,entropy,15.0,7,3,sqrt,,Gym,0.17852989651567044
50,1,-0.1551703209034488,0.1551703209034488,7.960162,"{'n_estimators': 831, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 16, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': None}",831,log_loss,15.0,16,5,sqrt,,Gym,0.17852989651567044
51,1,-0.1550223078061245,0.1550223078061245,9.640988,"{'n_estimators': 982, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': None}",982,entropy,15.0,7,3,sqrt,,Gym,0.17852989651567044
52,1,-0.15483777253753317,0.15483777253753317,9.66421,"{'n_estimators': 999, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': None}",999,entropy,15.0,6,4,sqrt,,Gym,0.17852989651567044
53,1,-0.1548342711740759,0.1548342711740759,9.67702,"{'n_estimators': 998, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': None}",998,entropy,15.0,6,4,sqrt,,Gym,0.17852989651567044
54,1,-0.15474115098881752,0.15474115098881752,10.469117,"{'n_estimators': 1079, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': None}",1079,entropy,15.0,3,4,sqrt,,Gym,0.17852989651567044
55,1,-0.15476011875753773,0.15476011875753773,10.676515,"{'n_estimators': 1103, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': None}",1103,entropy,15.0,3,4,sqrt,,Gym,0.17852989651567044
56,1,-0.15471610160077393,0.15471610160077393,12.018137,"{'n_estimators': 1254, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1254,entropy,15.0,3,4,sqrt,0.9,Gym,0.17852989651567044
57,2,-0.15190502250566845,0.15190502250566845,2.492568,"{'n_estimators': 1300, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1300,entropy,15.0,2,5,sqrt,0.9,Gym,0.17852989651567044
58,1,-0.15468494704623886,0.15468494704623886,14.261927,"{'n_estimators': 1495, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1495,entropy,15.0,3,4,sqrt,0.9,Gym,0.17852989651567044
59,1,-0.15469372971535766,0.15469372971535766,13.884187,"{'n_estimators': 1455, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1455,entropy,15.0,3,4,sqrt,0.9,Gym,0.17852989651567044
60,2,-0.15182158323255351,0.15182158323255351,2.738289,"{'n_estimators': 1436, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1436,entropy,15.0,3,4,sqrt,0.9,Gym,0.17852989651567044
61,1,-0.15472459666120703,0.15472459666120703,14.169833,"{'n_estimators': 1494, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1494,entropy,15.0,3,5,sqrt,0.9,Gym,0.17852989651567044
62,1,-0.15466990881233827,0.15466990881233827,14.068233,"{'n_estimators': 1476, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1476,entropy,15.0,3,4,sqrt,0.9,Gym,0.17852989651567044
63,2,-0.15181441793293649,0.15181441793293649,2.981729,"{'n_estimators': 1497, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1497,entropy,15.0,3,4,sqrt,0.9,Gym,0.17852989651567044
64,1,-0.15469385094615926,0.15469385094615926,13.360139,"{'n_estimators': 1401, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1401,entropy,15.0,4,4,sqrt,0.9,Gym,0.17852989651567044
65,2,-0.15184216758525856,0.15184216758525856,2.654854,"{'n_estimators': 1395, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1395,entropy,15.0,4,5,sqrt,0.9,Gym,0.17852989651567044
66,2,-0.1526108985872835,0.1526108985872835,2.495974,"{'n_estimators': 1341, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1341,gini,15.0,2,4,sqrt,0.9,Gym,0.17852989651567044
67,1,-0.1548886528223356,0.1548886528223356,14.477875,"{'n_estimators': 1498, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.9}",1498,entropy,15.0,4,3,sqrt,0.9,Gym,0.17852989651567044
68,2,-0.15184503034820693,0.15184503034820693,2.749488,"{'n_estimators': 1433, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1433,entropy,15.0,4,4,sqrt,0.9,Gym,0.17852989651567044
69,2,-0.15181843857611865,0.15181843857611865,2.440116,"{'n_estimators': 1268, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1268,entropy,15.0,3,5,sqrt,0.9,Gym,0.17852989651567044
70,1,-0.15495331249289682,0.15495331249289682,13.415642,"{'n_estimators': 1390, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.9}",1390,entropy,15.0,2,3,sqrt,0.9,Gym,0.17852989651567044
71,1,-0.15470780815481344,0.15470780815481344,12.805169,"{'n_estimators': 1334, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1334,entropy,15.0,4,4,sqrt,0.9,Gym,0.17852989651567044
72,2,-0.15182014673621522,0.15182014673621522,2.572728,"{'n_estimators': 1338, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1338,entropy,15.0,4,4,sqrt,0.9,Gym,0.17852989651567044
73,1,-0.15471801000547647,0.15471801000547647,11.751832,"{'n_estimators': 1222, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1222,entropy,15.0,3,4,sqrt,0.9,Gym,0.17852989651567044
74,1,-0.15472364060123395,0.15472364060123395,13.829215,"{'n_estimators': 1463, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1463,entropy,15.0,2,5,sqrt,0.9,Gym,0.17852989651567044
75,1,-0.15471218712617998,0.15471218712617998,11.808184,"{'n_estimators': 1236, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1236,entropy,15.0,2,4,sqrt,0.9,Gym,0.17852989651567044
76,1,-0.1549843814867189,0.1549843814867189,11.80371,"{'n_estimators': 1226, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.9}",1226,entropy,15.0,4,3,sqrt,0.9,Gym,0.17852989651567044
77,2,-0.15263472043333765,0.15263472043333765,2.253882,"{'n_estimators': 1211, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1211,gini,15.0,5,4,sqrt,0.9,Gym,0.17852989651567044
78,2,-0.15179175020884136,0.15179175020884136,2.511779,"{'n_estimators': 1305, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1305,entropy,15.0,2,4,sqrt,0.9,Gym,0.17852989651567044
79,1,-0.1549735566428941,0.1549735566428941,13.306902,"{'n_estimators': 1383, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.9}",1383,entropy,20.0,5,3,sqrt,0.9,Gym,0.17852989651567044
80,1,-0.1547286714263558,0.1547286714263558,10.889155,"{'n_estimators': 1137, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1137,entropy,15.0,4,4,sqrt,0.9,Gym,0.17852989651567044
81,1,-0.1547372103907921,0.1547372103907921,13.654218,"{'n_estimators': 1442, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1442,entropy,15.0,2,5,sqrt,0.9,Gym,0.17852989651567044
82,2,-0.15178805039064183,0.15178805039064183,2.844574,"{'n_estimators': 1466, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1466,entropy,15.0,3,4,sqrt,0.9,Gym,0.17852989651567044
83,2,-0.15177402440434093,0.15177402440434093,2.547736,"{'n_estimators': 1324, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1324,entropy,15.0,2,4,sqrt,0.9,Gym,0.17852989651567044
84,1,-0.1547298363190281,0.1547298363190281,13.457352,"{'n_estimators': 1415, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1415,entropy,,3,5,sqrt,0.9,Gym,0.17852989651567044
85,2,-0.15967351204123265,0.15967351204123265,2.283734,"{'n_estimators': 1251, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.1, 'max_samples': 0.9}",1251,entropy,15.0,2,3,0.1,0.9,Gym,0.17852989651567044
86,2,-0.152598535109643,0.152598535109643,2.696759,"{'n_estimators': 1467, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.5}",1467,entropy,15.0,4,4,sqrt,0.5,Gym,0.17852989651567044
87,2,-0.15186885129618094,0.15186885129618094,2.610246,"{'n_estimators': 1355, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1355,entropy,15.0,3,5,sqrt,0.9,Gym,0.17852989651567044
